rank,id,source_screening_id,wer,inference_runtime_sec,inference_peak_gpu_mem_mb
1,SEL03,E05,1.0,32.92424833774567,25.771484375
2,SEL05,E02,1.0,33.71369671821594,24.646484375
3,SEL02,E06,1.0,34.470452427864075,29.603515625
4,SEL04,E03,1.0,34.51751434803009,14.1923828125
5,SEL01,E08,1.0037336652146858,33.320197105407715,24.646484375
